Actual,Predicted
104607.35,101461.726974722
118767.04,114037.3997143805
12452.35,6872.87562620081
65802.33,72642.69748403691
1535.57,-28833.151167316362
2189.84,-37233.531731750816
68589.92000000001,67546.22270471975
14330.4,22682.148793380708
50316.5,49286.75204262696
19555.6,5819.760720491409
41090.08,41920.32677321881
117172.8,115888.76500499249
43221.86,61641.96915513836
99426.6,98792.63956724294
36213.76,35259.957467556
118496.56,118638.31547805108
12411.7,10489.725427472964
224440.9,183593.54645418003
170710.88,151303.98805743456
4427.08,-33145.20119280182
40832.64,56895.913709353656
131097.72,125170.68000380695
81658.35,96666.18076242134
42900.48,37521.79106234573
162282.42,143273.10961993225
151304.8,138720.83748821542
150664.5,137857.6436152272
16549.76,28458.624604279175
30303.24,30086.382396766916
70137.9,87050.18464207463
30543.92,51621.75974085368
90015.12,92137.78846785054
30464.72,34605.76895341836
54164.55,59252.90162361786
180569.9,158438.66251859255
47707.75,44475.425446750596
94214.68,95547.93091984093
19934.32,21542.4264561031
197563.1,170396.43673423864
79071.51,81289.92559520341
108690.09,105203.2718662601
50653.88,52192.94398085587
93888.55,96547.34275214374
6478.76,-11863.19635168463
33062.4,71719.24637376517
76053.84999999999,77578.8961625956
191617.12,163666.35949991085
52188.98,56753.89476986788
76663.8,99033.928136928
25743.78,29468.781871704385
5953.8,-6723.431039268151
121182.46,116954.87047269568
31293.09,22884.078924797475
35367.14,47379.32774795778
75695.49,76765.54180283472
105889.52,112516.14438910969
61750.56,97577.25632324256
32728.8,29639.624421587214
81139.08,96056.27423931472
7006.22,23679.16381593421
13422.64,-6918.196829661727
54468.170000000006,58373.23637159169
62555.22,68728.01072433218
170139.6,152988.77072497644
71384.16,93840.65177525394
260.73,-56853.80921491794
85029.08,96217.50603900477
80917.96,91769.64877549559
83453.3,90940.35020870343
25645.55,77563.33461651951
22931.64,11196.049878725782
23427.62,72002.09132095799
56871.15,65733.4045827873
3455.24,-38380.33421126008
24495.72,55766.5887529701
59570.42,62424.66385676898
77610.6,84852.20361904427
47097.93,61145.646339831874
145602.35,137768.25270134397
85633.59000000001,111087.45749132521
55639.08,77340.6386023555
208084.50000000003,167087.2065585293
24473.41,18462.775057708845
29257.84,47699.49540673569
19704.02,5921.4015006590635
97881.79,102179.83484801464
145992.21,133420.08104575984
44709.12,44663.32867857069
53351.26,57074.75230160728
20142.64,8510.658894551918
37637.44,48231.56986359507
127111.25,121263.22209618986
9532.92,23247.6398895476
143528.4,137897.18349253014
43825.5,81344.40410461463
105316.25,105642.68597753346
183677.52,162585.57704306394
11642.04,12419.110018957406
76004.72,82108.02890853398
136236.96,133954.50189373456
111289.48,109412.88352807052
33573.869999999995,49851.8236032296
17069.36,4329.851926034316
197928.75,167019.54276244715
57274.62,59449.55923079513
123619.02000000002,117160.53007923812
16705.039999999997,10336.63864890486
8399.199999999999,-16418.20023321733
111161.25,112897.64761372283
54634.72,54799.04647997022
6404.84,-24555.62392755039
18486.24,27422.122405678034
37775.43,42019.75412933156
2475.56,-5081.023050125688
96026.0,99432.80534151383
15726.35,26319.065035816282
227636.36,183121.56683490053
42822.990000000005,81194.50980896503
41330.0,41206.16676192731
20070.32,68449.322178768
203083.71,169476.70541862585
165894.89,150345.52387959696
63958.86,70363.79341978021
31690.1,25674.14257923141
10356.36,-12331.157883128151
14593.14,1687.6168542653322
40929.920000000006,47448.73428835161
155519.28,143108.01442356594
181389.12,159088.00337876566
44418.0,39773.080161264166
1889.58,-42015.964442318305
167196.86000000002,148445.824082857
26359.06,17352.76652563177
21768.6,83716.32367149182
38120.46,67194.17459615134
86687.7,87517.3922522869
145542.08,137949.820154991
8035.82,39903.10577940196
113239.5,111286.79519124329
86382.48,84535.19433104247
23048.820000000003,26487.623310724273
17407.949999999997,6491.81145843491
83016.0,102649.04268970154
96411.04,104990.60101973079
19170.76,23453.129141252488
17201.03,12894.986685877666
104102.96,100762.32179413177
1709.71,-21460.665179824457
80070.0,85014.64768362604
808.69,-48437.87442388572
1415.25,-46335.56875646487
4805.56,-26371.538745364174
143820.3,134293.16321644746
42402.3,64555.29725531116
71801.97,77377.56907636859
30511.46,60905.130882784724
61085.0,62275.322597429156
93743.07,95635.42530399561
189279.2,162042.62359186634
193346.28000000003,162628.86086876504
36048.64,45203.66376580112
60648.48,59786.936592802405
58005.6,71085.45065710507
2897.0800000000004,-22377.219024864957
75718.2,82477.11988670006
79333.98000000001,81237.48443214968
41634.84,47157.52015297301
41127.0,41300.13918407634
177285.59999999998,156430.55384850502
55497.2,55785.45679352805
92628.55,99422.80618703924
127591.37,125911.95315783285
30299.61,46449.01519307494
63587.72,63864.51904169656
5808.12,13719.153452984989
22822.3,19963.279499618337
71428.48,87163.09701383114
124030.92,124442.66556761786
18914.97,15290.352870732546
65650.5,63881.74691704661
52370.54,83868.9716709312
61509.35,80791.76220505498
97570.44,107238.91636927426
184367.08000000005,155053.85821831413
33755.93,34866.36266903207
47576.57000000001,43665.70225828141
9535.2,-18542.9109207429
21240.72,10507.072908524424
97643.7,108834.7607453186
10517.52,-12585.174131803215
50180.02,87265.33512256108
146603.1,131704.28197930753
142742.72,135746.5381218493
3815.97,-30523.989192215726
16543.89,2204.479487495497
24368.22,49068.53120415285
15574.4,43840.48852282949
154376.94999999998,139737.96207307465
17120.24,53207.943956419826
153318.75,136505.12253172137
