Feature,Importance
num__Quantity_Sold,0.4976403641705128
num__Unit_Price,0.34146541118811136
num__Unit_Cost,0.15618529977498738
num__Product_ID,0.0006185127585769635
num__Discount,0.0006077605955118759
num__Sale_Day,0.0005497950685728523
num__Sale_Month_Num,0.0003099899709626345
num__Sale_DayOfWeek,0.00030895008904730843
cat__Sales_Channel_Retail,0.00010891076215804303
cat__Sales_Channel_Online,0.00010267517151130463
cat__Region_North,0.00010218838598018464
cat__Product_Category_Furniture,8.847189580384747e-05
cat__Sales_Rep_Eve,8.267798326177224e-05
cat__Product_Category_Electronics,8.099017970864255e-05
cat__Region_East,7.95892515063614e-05
cat__Product_Category_Clothing,7.923526137795069e-05
cat__Payment_Method_Credit Card,7.697766283909565e-05
cat__Sales_Rep_David,7.3725022916996e-05
cat__Payment_Method_Cash,7.336949667880976e-05
cat__Customer_Type_Returning,6.975932449027807e-05
cat__Payment_Method_Bank Transfer,6.853798316380463e-05
cat__Region_West,6.718406118542007e-05
cat__Product_Category_Food,6.564602860447144e-05
cat__Sales_Rep_Bob,6.324079006452022e-05
cat__Customer_Type_New,6.135054469039214e-05
cat__Sale_Month_March,5.8930126269218205e-05
cat__Sales_Rep_Charlie,5.304306549147115e-05
cat__Region_South,5.275842253889989e-05
cat__Sales_Rep_Alice,5.079339853316132e-05
cat__Sale_Month_October,4.7627451413884256e-05
cat__Sale_Month_June,3.968425138644341e-05
cat__Sale_Month_July,3.815703301406258e-05
cat__Region_and_Sales_Rep_East-Bob,3.6881945784863216e-05
cat__Region_and_Sales_Rep_North-David,3.621861177481295e-05
cat__Sale_Month_February,3.154490563219694e-05
cat__Region_and_Sales_Rep_South-Charlie,2.8388591075511927e-05
cat__Sale_Month_November,2.836298593487488e-05
cat__Region_and_Sales_Rep_East-David,2.6500571086897753e-05
cat__Sale_Month_January,2.6479422985693965e-05
cat__Region_and_Sales_Rep_West-Bob,2.6455200640898556e-05
cat__Sale_Month_September,2.6194690413955597e-05
cat__Sale_Month_August,2.459487304901694e-05
cat__Sale_Month_December,2.4271493480101294e-05
cat__Region_and_Sales_Rep_South-David,2.4097227853009684e-05
cat__Region_and_Sales_Rep_North-Bob,2.3574894690734444e-05
cat__Region_and_Sales_Rep_East-Alice,2.3177024551542086e-05
cat__Region_and_Sales_Rep_North-Charlie,2.2016848503831962e-05
cat__Sale_Month_April,2.1451171623876896e-05
cat__Region_and_Sales_Rep_West-Eve,2.0821599768459912e-05
cat__Region_and_Sales_Rep_North-Eve,2.0040647929208277e-05
cat__Region_and_Sales_Rep_South-Eve,1.9352700655773543e-05
cat__Region_and_Sales_Rep_West-David,1.9302488484447285e-05
cat__Region_and_Sales_Rep_South-Alice,1.920798627145909e-05
cat__Region_and_Sales_Rep_West-Charlie,1.7874259494434694e-05
cat__Sale_Month_May,1.7300282303424012e-05
cat__Region_and_Sales_Rep_West-Alice,1.619949458325928e-05
cat__Region_and_Sales_Rep_East-Eve,1.4420093187083036e-05
cat__Region_and_Sales_Rep_South-Bob,1.331633948514816e-05
cat__Region_and_Sales_Rep_East-Charlie,1.0305485428768175e-05
cat__Region_and_Sales_Rep_North-Alice,9.975324993848716e-06
num__Sale_Year,6.566746074034998e-08
