Feature,Importance
num__Quantity_Sold,0.4974375808404276
num__Unit_Price,0.34157172898645066
num__Unit_Cost,0.15582236912129713
num__Sales_Amount,0.00075406776155021
num__Discount,0.0005934423797598244
num__Product_ID,0.0005752995578413027
num__Sale_Day,0.0005121853559361844
num__Sale_DayOfWeek,0.00030094336000794606
num__Sale_Month_Num,0.0002815112577340048
cat__Sales_Channel_Retail,0.00012130379676812525
cat__Sales_Channel_Online,8.997693183765456e-05
cat__Product_Category_Furniture,8.454907465338996e-05
cat__Sales_Rep_Eve,8.022657130474811e-05
cat__Sales_Rep_David,7.935393789923992e-05
cat__Region_North,7.791561505377342e-05
cat__Payment_Method_Cash,7.741086536221166e-05
cat__Product_Category_Electronics,7.712778113905147e-05
cat__Product_Category_Clothing,7.618789180666584e-05
cat__Payment_Method_Credit Card,7.202795093180232e-05
cat__Region_East,7.155414085172147e-05
cat__Region_West,7.11495553144662e-05
cat__Customer_Type_New,6.983073940947995e-05
cat__Payment_Method_Bank Transfer,6.279950486789401e-05
cat__Product_Category_Food,6.247726249275596e-05
cat__Sales_Rep_Bob,6.0374013805297165e-05
cat__Customer_Type_Returning,5.7656043794006946e-05
cat__Sale_Month_March,5.151775336547364e-05
cat__Sales_Rep_Alice,4.905750448582227e-05
cat__Region_South,4.704035221844886e-05
cat__Sale_Month_October,4.270137640278066e-05
cat__Sales_Rep_Charlie,4.2425129369673965e-05
cat__Sale_Month_July,3.449871651573478e-05
cat__Sale_Month_February,3.184090440184085e-05
cat__Region_and_Sales_Rep_North-David,3.041143114783435e-05
cat__Region_and_Sales_Rep_East-Bob,2.931329483630683e-05
cat__Sale_Month_June,2.7472386417939066e-05
cat__Sale_Month_January,2.7195468805229466e-05
cat__Sale_Month_September,2.4135514040623346e-05
cat__Sale_Month_November,2.405650885107548e-05
cat__Region_and_Sales_Rep_North-Charlie,2.267789934487497e-05
cat__Region_and_Sales_Rep_West-Bob,2.2665628602085126e-05
cat__Region_and_Sales_Rep_East-Alice,2.258396395193234e-05
cat__Region_and_Sales_Rep_South-David,2.1107258159233916e-05
cat__Region_and_Sales_Rep_East-David,2.0752277693947173e-05
cat__Region_and_Sales_Rep_South-Charlie,2.0738608519284794e-05
cat__Region_and_Sales_Rep_West-David,2.0703034136688747e-05
cat__Sale_Month_August,2.0044781179233106e-05
cat__Region_and_Sales_Rep_South-Eve,2.0036752869314504e-05
cat__Region_and_Sales_Rep_East-Eve,2.0031131175067477e-05
cat__Region_and_Sales_Rep_North-Eve,1.9573261801442853e-05
cat__Sale_Month_April,1.9475088956982974e-05
cat__Sale_Month_May,1.8979662967339398e-05
cat__Sale_Month_December,1.8893110736772098e-05
cat__Region_and_Sales_Rep_West-Alice,1.718794674621617e-05
cat__Region_and_Sales_Rep_West-Charlie,1.6999684196516762e-05
cat__Region_and_Sales_Rep_West-Eve,1.5922604902275308e-05
cat__Region_and_Sales_Rep_North-Bob,1.464238914884759e-05
cat__Region_and_Sales_Rep_South-Alice,1.449045699558954e-05
cat__Region_and_Sales_Rep_North-Alice,1.0713267144050461e-05
cat__Region_and_Sales_Rep_East-Charlie,9.955075999432735e-06
cat__Region_and_Sales_Rep_South-Bob,8.954617242495925e-06
num__Sale_Year,1.548583744052599e-07
