Transaction_Amount,Transaction_Hour,Account_Age_Days,Previous_Transactions,Failed_Transactions,Device_Trust_Score,Location_Change,International_Transaction,Transaction_Frequency,Fraud
109.59,7,1430,368,1,26.16,1,0,10,0
58.08,0,346,24,2,99.58,0,0,4,0
127.45,23,1677,413,2,15.63,0,0,2,0
305.83,21,919,451,1,72.06,0,0,4,0
52.76,3,285,365,2,72.51,1,0,7,0
52.77,11,901,68,4,68.3,0,0,6,0
323.5,23,22,370,3,22.74,1,0,5,0
143.66,2,1036,194,0,21.51,0,0,6,0
41.7,12,983,84,4,66.63,0,1,2,0
114.73,19,184,438,2,18.63,0,0,4,0
41.95,5,1418,437,2,66.16,0,0,4,0
41.86,10,1635,207,2,49.25,0,0,2,0
84.94,22,1953,49,3,38.66,1,0,3,0
9.84,3,2298,32,0,30.02,0,0,5,0
11.88,19,556,317,1,94.76,0,0,5,0
38.0,15,2071,170,1,50.81,0,0,5,0
24.22,6,1228,129,1,56.13,0,0,8,0
91.31,21,1430,447,2,94.93,0,0,3,0
26.9,10,1464,102,1,65.39,0,0,3,0
16.24,23,2782,35,1,95.79,0,1,5,0
288.78,0,1443,307,1,10.64,0,0,1,1
53.21,6,12,199,3,84.66,1,0,5,0
71.35,11,2748,301,0,33.54,0,1,5,0
16.04,6,1852,77,1,81.05,1,0,3,0
38.69,22,756,369,1,85.56,0,0,4,0
74.51,6,2826,321,3,27.15,0,0,5,0
21.09,9,881,14,4,40.88,0,0,4,0
97.1,15,504,349,1,72.6,0,0,8,0
36.57,7,2474,131,2,9.91,0,0,3,0
49.81,8,1424,238,4,75.55,0,1,5,0
36.54,8,637,280,2,11.05,0,0,7,0
425.08,1,1085,65,0,91.45,0,0,8,0
65.79,12,151,432,0,27.63,0,0,5,0
23.16,12,1497,138,2,57.56,0,0,1,0
151.8,22,55,269,4,11.72,1,0,4,0
19.67,22,2901,228,0,26.95,0,0,3,0
82.18,3,2067,201,0,40.4,0,0,4,1
9.4,23,673,142,0,48.7,0,0,4,0
17.67,11,582,100,2,0.01,0,0,1,0
81.2,16,2039,138,1,88.87,1,0,3,0
139.56,1,1563,168,3,0.77,1,0,10,1
79.15,12,1631,407,1,77.37,1,0,2,0
59.4,17,2706,99,3,47.06,1,1,4,0
49.35,14,922,311,2,52.39,1,0,5,0
15.2,7,649,319,1,20.83,0,0,8,0
32.46,14,2673,327,2,60.74,1,0,4,0
42.07,0,2755,426,2,53.72,0,0,2,0
191.93,19,918,355,1,16.42,0,0,2,0
94.03,9,2235,66,3,23.81,0,0,5,0
11.44,11,878,335,1,6.69,0,0,4,0
92.21,4,1039,329,1,6.63,0,0,4,0
45.37,8,862,47,1,1.38,0,0,7,0
33.89,22,316,337,0,22.05,0,1,5,0
122.94,7,2605,382,2,67.97,0,0,3,0
186.98,15,2384,231,2,31.62,0,1,2,1
169.23,13,1826,308,1,34.27,0,0,4,1
28.81,12,404,146,2,13.19,0,0,5,0
48.95,22,2357,207,0,57.55,1,1,4,0
92.88,20,758,146,3,34.21,0,0,3,0
176.89,12,2342,152,2,67.63,1,1,5,0
41.3,4,339,279,1,74.15,0,0,4,0
55.39,15,2107,140,3,58.47,0,1,7,0
22.06,10,2041,151,1,27.61,0,0,8,0
20.16,21,782,21,2,50.86,0,0,5,0
150.28,4,1655,254,2,25.19,1,0,3,0
258.85,12,1742,64,0,90.29,0,0,7,0
62.05,10,387,218,6,76.64,1,0,8,0
181.91,18,1797,72,2,49.3,0,1,7,0
95.74,2,1633,478,0,96.55,0,0,6,0
34.98,14,1009,162,3,54.68,0,0,6,0
95.72,6,1858,130,1,32.85,0,0,1,0
310.45,6,1571,69,1,9.55,1,0,3,0
64.34,5,783,415,2,54.37,0,0,3,0
318.83,2,1093,225,2,86.04,0,0,4,0
4.86,12,2925,246,1,86.67,0,0,2,0
151.7,6,1813,68,3,60.46,0,0,10,0
72.75,4,1108,454,0,39.34,0,0,4,0
49.45,22,2060,471,4,65.03,0,0,4,0
73.1,17,1608,493,0,76.21,0,1,7,0
9.14,21,757,403,4,41.16,1,0,3,0
53.53,7,1481,384,0,47.63,0,0,4,1
95.31,16,1774,107,0,68.06,0,0,5,0
292.33,19,2332,109,1,87.67,0,0,7,0
39.72,0,1563,328,2,79.1,0,1,6,0
29.71,13,1625,103,2,2.24,0,1,4,0
40.38,16,2272,141,3,12.44,0,1,4,1
166.57,9,1518,65,3,85.28,0,0,6,0
92.64,11,338,134,3,83.38,0,0,2,0
39.26,15,2312,199,0,38.88,0,0,3,0
111.42,13,1420,368,1,58.43,0,0,6,0
73.48,15,135,155,1,90.58,0,0,2,0
175.68,7,776,79,1,91.16,1,0,4,0
33.05,22,1583,436,1,78.31,0,0,4,0
48.05,9,1237,382,1,20.96,0,0,6,0
45.06,16,1205,482,3,73.03,0,0,5,0
15.43,17,1768,250,2,10.11,1,0,4,0
89.67,19,226,377,5,89.39,1,1,5,0
86.58,15,1369,87,1,14.91,0,0,9,0
67.03,16,1331,304,2,66.23,0,1,9,1
52.74,15,841,241,1,61.02,0,0,8,0
16.19,18,191,88,0,77.69,0,0,7,0
43.79,23,343,463,2,55.16,0,0,6,0
47.34,23,520,483,1,5.96,0,0,5,0
29.9,7,392,324,1,70.58,0,1,3,0
56.75,5,1906,172,2,38.32,0,0,4,0
99.89,5,341,357,2,32.03,0,1,6,0
439.74,20,1198,17,2,99.17,0,0,2,0
79.41,8,1275,223,4,59.04,0,0,5,0
86.28,3,909,294,1,71.07,0,0,2,0
61.9,11,651,394,1,52.63,0,0,0,0
9.79,11,1260,310,3,77.0,0,0,9,0
64.94,22,643,498,3,75.21,0,0,2,0
70.83,16,2508,219,2,65.71,1,0,6,0
783.09,14,205,234,2,99.77,0,0,5,0
55.02,8,1903,390,1,45.98,0,0,6,0
90.16,6,467,248,4,70.62,0,1,7,0
64.41,9,839,390,2,79.78,0,0,6,0
20.72,15,2314,52,5,37.6,0,0,4,0
209.1,11,2066,15,3,45.72,0,0,5,0
141.45,6,2818,324,3,96.92,0,1,7,0
147.09,17,1234,441,1,3.23,0,0,4,0
26.86,14,896,112,4,33.53,0,0,2,0
271.18,5,402,184,0,48.62,0,1,5,0
16.41,11,1685,360,1,0.15,0,0,6,0
119.92,10,2456,7,2,89.91,0,0,6,0
596.13,19,2388,51,0,28.62,0,0,4,0
24.77,2,2537,314,2,25.77,0,0,2,0
37.85,1,2191,241,1,82.03,0,0,5,0
73.67,5,925,245,2,27.8,0,0,5,0
40.31,23,944,448,6,65.76,0,0,5,0
14.14,21,364,365,3,82.15,0,0,2,0
71.42,4,2641,367,3,79.25,0,0,6,0
23.05,17,1531,410,2,78.2,0,0,4,0
107.08,15,2682,186,3,8.86,0,1,1,0
