amount,transaction_hour,merchant_risk,customer_age,account_age_days,transactions_last_24h,avg_transaction_amount,failed_transactions,international_transaction,device_risk,previous_fraud,is_fraud
85.53,8,0.603,24,3280,2,162.81,2,0,0.312,0,0
39.68,19,0.29,46,2947,3,181.47,1,0,0.342,0,0
415.96,1,0.337,34,2462,3,92.7,0,0,0.245,0,0
75.82,12,0.21,28,1015,3,115.51,0,1,0.409,0,0
272.06,10,0.432,58,3390,4,214.63,0,0,0.413,0,1
978.66,20,0.325,46,2615,1,95.97,1,1,0.443,0,0
63.05,21,0.291,53,1243,3,149.34,0,0,0.31,0,0
293.93,21,0.155,24,1339,1,55.86,0,0,0.508,0,0
59.29,16,0.306,26,3589,0,117.37,1,0,0.349,0,0
123.61,22,0.229,39,880,2,121.76,1,0,0.352,0,0
353.95,19,0.287,62,1263,4,84.85,0,0,0.264,0,0
72.58,9,0.208,19,577,3,28.95,0,0,0.287,0,0
196.18,0,0.085,62,2508,5,78.65,0,0,0.276,0,0
50.35,6,0.065,51,1695,2,738.82,2,1,0.242,0,0
93.4,10,0.439,52,1652,2,244.18,0,1,0.204,0,0
50.53,15,0.234,66,3407,5,175.7,0,0,0.07,0,0
41.14,0,0.299,22,1825,3,147.27,1,0,0.136,0,0
105.54,5,0.453,73,2925,0,48.34,2,0,0.192,0,0
58.71,1,0.293,25,1439,5,187.21,1,0,0.388,0,1
217.44,17,0.215,56,2217,4,43.8,2,0,0.293,0,0
84.87,15,0.52,73,1185,2,249.67,1,0,0.09,0,0
491.39,8,0.108,60,107,2,146.47,0,0,0.242,0,0
140.1,0,0.35,53,768,5,66.48,2,0,0.489,1,0
114.48,5,0.105,65,2821,5,479.34,1,0,0.313,1,1
115.27,2,0.04,47,1278,1,88.5,0,0,0.216,0,0
1001.66,19,0.279,72,2972,5,185.52,0,0,0.367,0,1
179.35,16,0.329,44,2627,3,26.3,0,0,0.213,0,0
75.4,16,0.196,27,980,1,145.0,0,0,0.227,0,0
52.61,2,0.155,26,623,3,51.92,1,0,0.268,0,0
77.74,10,0.683,63,2157,2,174.06,2,0,0.267,0,0
249.92,20,0.424,47,2561,5,220.01,1,0,0.439,0,0
926.54,7,0.428,60,1896,2,337.59,2,1,0.168,0,1
294.59,12,0.103,68,256,2,55.09,1,0,0.152,0,0
179.63,10,0.307,75,291,2,142.62,0,1,0.321,0,0
586.2,12,0.192,47,1533,3,145.23,1,0,0.264,0,0
206.0,11,0.669,75,3446,5,84.07,1,0,0.402,0,0
40.71,4,0.261,52,636,1,27.55,0,0,0.26,0,0
405.83,8,0.441,45,500,3,64.61,0,1,0.325,0,0
58.01,1,0.226,24,2846,7,149.36,0,0,0.448,0,0
336.26,13,0.478,38,1498,5,190.21,4,0,0.54,0,0
118.22,5,0.182,35,3132,3,135.15,2,0,0.506,0,1
129.37,5,0.373,61,3206,1,271.88,0,0,0.138,0,1
110.86,8,0.23,37,1492,5,123.31,1,0,0.263,0,0
576.08,12,0.098,45,1783,6,106.58,1,0,0.231,0,0
397.15,15,0.453,62,85,8,185.3,2,0,0.507,0,0
558.6,22,0.178,28,864,2,112.63,0,0,0.194,0,0
69.43,14,0.231,48,1090,4,342.6,0,0,0.213,1,0
8.05,20,0.561,68,2717,6,115.14,1,0,0.157,0,0
234.14,15,0.306,37,1473,0,64.57,1,1,0.233,0,0
258.08,15,0.225,24,1870,2,36.35,1,0,0.081,0,0
108.89,21,0.246,18,572,3,190.53,0,0,0.157,0,0
444.11,22,0.33,23,2115,4,326.12,0,0,0.253,0,0
64.6,10,0.788,50,3131,0,103.42,2,0,0.302,0,0
82.36,20,0.608,63,405,2,381.54,2,0,0.386,0,0
124.83,5,0.365,34,2262,0,143.78,1,0,0.325,0,0
187.55,2,0.313,47,638,2,81.68,0,0,0.248,0,0
129.08,1,0.382,52,2445,6,248.62,0,0,0.353,0,0
116.12,16,0.477,59,1110,2,15.92,0,0,0.403,0,0
116.87,2,0.351,30,2732,1,72.88,1,0,0.208,0,1
154.2,21,0.469,22,2684,6,224.76,0,0,0.81,0,0
39.41,19,0.289,20,2947,4,91.39,0,0,0.266,0,0
38.19,9,0.593,43,2189,6,88.31,1,0,0.178,0,0
