Age,AnnualIncome,Gender,City,DeviceType,Membership,PaymentMethod,TrafficSource,SessionDuration,PagesVisited,PreviousPurchases,CartValue,Purchased
56,1593636,Male,Delhi,Tablet,Gold,UPI,Google Ads,11.25,8,7,9467.42,1
46,1471898,Female,Delhi,Mobile,Basic,Debit Card,Google Ads,41.72,18,7,1672.7,1
32,1214057,Male,Hyderabad,Tablet,Platinum,Debit Card,Email,39.09,2,12,22846.42,1
60,1403520,Male,Pune,Mobile,Basic,Credit Card,Email,53.63,18,12,10450.41,1
25,1799061,Male,Mumbai,Desktop,Silver,UPI,Referral,44.24,18,15,11541.44,1
38,1676972,Female,Chennai,Desktop,Silver,Net Banking,Organic,30.99,11,7,8811.27,1
56,1383358,Female,Delhi,Desktop,Basic,Net Banking,Organic,59.52,1,15,15724.9,1
36,1300483,Male,Pune,Mobile,Basic,Credit Card,Social Media,16.7,14,10,19631.76,1
40,382967,Male,Mumbai,Desktop,Silver,Debit Card,Google Ads,50.16,16,15,16238.85,1
28,1531351,Female,Delhi,Mobile,Gold,UPI,Referral,26.18,11,5,18730.36,1
28,1619758,Male,Delhi,Desktop,Gold,Debit Card,Google Ads,39.28,1,10,22658.74,1
41,1510823,Male,Chennai,Mobile,Silver,Net Banking,Referral,43.91,7,2,21602.31,1
53,244772,Other,Chennai,Desktop,Gold,Debit Card,Referral,38.39,16,0,16884.06,1
57,306108,Male,Delhi,Mobile,Gold,Net Banking,Referral,9.29,14,1,5444.49,1
41,1242958,Female,Bengaluru,Desktop,Gold,UPI,Google Ads,27.13,15,4,15978.8,1
20,1312867,Other,Delhi,Desktop,Silver,UPI,Email,34.12,14,12,12701.47,1
39,543339,Male,Pune,Desktop,Silver,Credit Card,Google Ads,51.09,11,9,17958.76,1
19,1511329,Male,Delhi,Mobile,Gold,Credit Card,Referral,27.18,16,4,20840.0,1
41,327550,Male,Hyderabad,Mobile,Silver,Debit Card,Social Media,55.21,19,9,18593.77,1
47,1460626,Female,Hyderabad,Tablet,Gold,UPI,Organic,26.98,17,13,21179.37,1
55,612882,Female,Hyderabad,Mobile,Silver,UPI,Referral,33.38,6,0,1690.27,1
19,517827,Female,Bengaluru,,Basic,Credit Card,Social Media,47.98,11,15,887.34,1
38,1227843,Male,Bengaluru,Desktop,Basic,Net Banking,Email,35.4,17,0,6536.66,1
50,1720889,Female,Delhi,Desktop,Silver,Debit Card,Referral,57.65,9,14,22526.59,1
29,1615434,Female,Hyderabad,Mobile,Silver,Debit Card,Social Media,39.96,18,8,20609.12,1
39,775603,Female,Bengaluru,Desktop,Gold,Credit Card,Referral,31.84,17,1,17099.91,1
42,568349,Female,Chennai,Desktop,Basic,UPI,Google Ads,2.39,12,6,17548.89,0
44,1242729,Female,Delhi,Mobile,Gold,Credit Card,Social Media,25.41,5,9,18194.09,1
59,1206919,Female,Pune,Tablet,Gold,Credit Card,Google Ads,18.66,11,15,23570.81,1
45,1469349,Female,Mumbai,Mobile,Basic,Credit Card,Google Ads,45.14,4,3,20821.56,1
33,1283894,Male,Delhi,Mobile,Gold,Credit Card,Social Media,13.29,4,6,15622.42,1
32,574030,Male,Mumbai,Mobile,Platinum,Net Banking,Organic,13.11,3,7,16676.31,1
20,1605753,Female,Hyderabad,Mobile,Gold,Net Banking,Social Media,12.18,17,15,5422.13,1
54,256077,Male,Mumbai,Tablet,Gold,UPI,Organic,8.41,7,4,16467.24,1
24,1056906,Female,Hyderabad,Mobile,,Credit Card,Referral,19.35,4,12,10674.51,1
38,313515,Other,Chennai,Mobile,Silver,Net Banking,Referral,53.27,13,11,3908.75,1
26,1173497,Female,Mumbai,Mobile,Basic,UPI,Social Media,46.72,12,11,20179.43,1
56,1435564,Male,Delhi,Mobile,Gold,Credit Card,Referral,44.38,1,0,12805.15,1
35,305885,Male,Hyderabad,Mobile,Silver,Debit Card,Email,48.04,19,15,24437.88,1
21,1076209,Male,Delhi,Mobile,Silver,Net Banking,Google Ads,16.9,20,3,7113.82,1
42,721656,Female,Bengaluru,Mobile,Basic,UPI,Google Ads,53.36,18,9,12068.69,1
31,850688,Female,Hyderabad,Desktop,Gold,Debit Card,Organic,9.1,11,15,11255.09,1
26,368014,Female,Mumbai,Mobile,Basic,Credit Card,Referral,20.84,20,2,3107.41,1
43,271751,Male,Hyderabad,Mobile,Platinum,Credit Card,Organic,35.62,3,9,10710.27,1
19,410203,Female,Delhi,Mobile,Basic,Credit Card,Google Ads,7.07,17,14,7260.08,1
