customer_id,age,tenure_months,monthly_spend,orders_last_90d,avg_order_value,days_since_last_order,support_tickets_90d,refund_rate,discount_usage_rate,sessions_last_30d,email_open_rate,payment_failures_90d,late_delivery_count,satisfaction_score,mobile_app_user,membership_tier,acquisition_channel,region,preferred_payment_method,churned
CUST101501,28.0,11,3104.44,3,3104.44,34,3.0,0.227,0.111,8,0.573,0,1,4.8,Yes,Silver,Organic,East,Card,0
CUST102586,35.0,2,917.63,1,2752.89,56,1.0,0.076,0.393,7,0.552,0,1,3.9,No,Silver,Organic,South,Card,1
CUST102653,26.0,12,2479.26,3,2479.26,44,3.0,0.057,0.138,16,0.71,0,3,3.7,No,Platinum,Referral,Central,UPI,0
CUST101055,,8,3134.04,3,3134.04,22,0.0,0.047,0.063,10,0.906,1,1,,No,Bronze,Paid Search,East,COD,1
CUST100705,24.0,9,3236.95,3,3236.95,54,0.0,0.034,0.489,13,0.622,0,1,3.7,Yes,Bronze,Social,West,NetBanking,0
CUST100106,24.0,32,4475.35,8,1678.26,15,2.0,0.077,0.319,13,,0,1,4.2,Yes,Silver,Social,Central,Card,0
CUST100589,50.0,20,4171.36,5,2502.82,46,1.0,0.253,0.684,14,0.629,1,0,3.5,Yes,Silver,Paid Search,North,Wallet,0
CUST102468,41.0,15,1944.8,2,2917.2,130,1.0,0.226,0.318,7,0.669,1,0,3.3,Yes,Bronze,Organic,East,Card,0
CUST102413,,23,2043.81,7,875.92,46,1.0,0.139,0.173,8,0.349,2,3,5.0,Yes,Gold,Partner,West,UPI,0
CUST101600,33.0,34,1667.38,5,1000.43,70,2.0,0.041,0.573,8,0.488,1,1,4.6,No,Silver,Social,East,UPI,1
CUST102464,27.0,20,1650.32,1,4950.96,62,0.0,0.085,0.052,9,0.469,0,1,4.6,Yes,Silver,Paid Search,North,Card,0
CUST100228,25.0,55,3909.47,3,3909.47,26,0.0,0.084,0.124,12,0.795,0,0,4.4,Yes,Bronze,Organic,South,NetBanking,0
CUST100915,46.0,25,1720.54,3,1720.54,22,2.0,0.128,0.128,20,0.831,1,0,3.3,No,Bronze,Paid Search,West,UPI,0
CUST100794,18.0,33,4016.73,7,1721.46,13,1.0,0.17,0.233,11,0.701,2,0,3.8,No,Bronze,Email,North,UPI,0
CUST103021,49.0,15,2267.83,6,1133.92,8,3.0,0.082,0.359,15,0.563,1,0,4.9,Yes,Platinum,Organic,South,Card,0
CUST103543,38.0,8,1383.74,5,830.24,24,0.0,0.083,0.294,14,0.687,2,0,4.6,No,Silver,Partner,Central,UPI,0
CUST101073,18.0,22,2220.14,6,1110.07,58,2.0,0.056,0.504,6,0.953,0,2,,No,Silver,Referral,South,COD,1
CUST103351,38.0,15,1756.55,12,439.14,81,2.0,0.016,0.293,7,0.879,1,2,2.7,No,Silver,Referral,West,Wallet,1
CUST101744,41.0,8,2241.06,3,2241.06,45,1.0,0.094,0.442,7,0.725,1,0,4.4,Yes,Platinum,Email,West,UPI,0
CUST101084,35.0,46,3039.67,3,3039.67,28,1.0,0.066,0.313,8,0.795,1,1,4.4,Yes,Platinum,Social,East,NetBanking,0
CUST100926,32.0,70,1077.76,6,538.88,50,0.0,0.046,0.383,12,0.726,1,2,3.8,Yes,Bronze,Partner,South,Card,1
CUST103049,48.0,11,7191.44,6,3595.72,26,0.0,0.122,0.684,10,0.868,1,1,4.7,Yes,Bronze,Partner,West,COD,0
CUST101117,30.0,10,713.14,1,2139.42,56,,0.092,0.05,9,0.437,0,0,3.9,Yes,Silver,Partner,Central,UPI,0
CUST100642,55.0,24,1305.17,6,652.58,34,1.0,0.059,0.33,10,0.798,1,1,4.2,Yes,Platinum,Partner,North,Card,0
CUST104767,45.0,46,1346.81,4,1010.11,54,0.0,0.198,0.177,6,0.412,0,1,3.0,Yes,Bronze,Email,East,UPI,0
CUST100501,43.0,34,2603.69,5,1562.21,37,0.0,0.106,0.158,11,0.611,0,0,3.7,No,Bronze,Partner,South,Wallet,0
CUST104066,26.0,33,1889.87,6,944.94,48,1.0,0.173,0.22,8,0.899,0,1,,Yes,Bronze,Organic,East,Wallet,1
CUST100333,24.0,16,1856.14,2,,41,1.0,0.129,0.264,10,0.679,0,0,3.6,No,Gold,Paid Search,North,Card,0
CUST104684,28.0,18,1702.04,3,1702.04,72,0.0,0.12,0.166,10,0.733,0,1,5.0,No,Silver,Partner,North,UPI,0
CUST100486,26.0,26,814.12,6,407.06,80,2.0,0.125,0.23,16,0.832,0,0,1.8,Yes,Silver,Organic,West,UPI,0
CUST101962,31.0,51,4135.15,10,1240.54,25,0.0,0.131,0.282,5,0.77,0,1,4.0,Yes,Bronze,Partner,West,UPI,0
CUST100393,39.0,8,1330.96,4,998.22,52,0.0,0.06,0.241,12,0.568,0,0,3.1,No,Bronze,Partner,East,COD,0
CUST104842,19.0,20,2666.58,4,1999.94,42,1.0,0.074,0.243,12,0.577,0,1,4.2,Yes,Bronze,Social,South,Card,0
CUST104866,25.0,31,4264.38,4,3198.28,35,1.0,0.086,0.106,10,0.878,1,1,4.2,No,Silver,Paid Search,Central,NetBanking,0
CUST101755,40.0,19,2853.71,2,4280.57,10,0.0,0.028,0.43,10,0.719,0,1,3.6,Yes,Silver,Paid Search,Central,UPI,0
CUST102515,28.0,25,7250.65,6,3625.32,15,0.0,0.022,0.141,12,0.369,0,2,2.3,Yes,Bronze,Paid Search,South,UPI,0
CUST103585,54.0,17,3038.38,4,,23,0.0,0.09,0.219,14,0.813,0,0,3.1,Yes,Bronze,Referral,West,Wallet,0
CUST104315,33.0,20,2394.9,2,3592.35,64,0.0,0.092,0.172,18,0.523,1,0,3.0,Yes,Bronze,Email,East,Wallet,0
CUST104966,30.0,10,5274.59,2,6000.0,68,2.0,0.044,0.106,12,0.661,1,2,3.5,Yes,Gold,Organic,East,Card,0
CUST102099,49.0,14,2967.02,5,1780.21,45,2.0,0.042,0.486,9,0.354,0,0,2.9,Yes,Gold,Email,North,UPI,0
CUST103599,48.0,13,4386.54,4,3289.9,64,1.0,0.066,0.339,10,0.774,0,0,3.9,Yes,Bronze,Email,West,UPI,0
CUST104121,41.0,6,3495.4,5,2097.24,20,0.0,0.032,0.306,9,0.709,0,1,3.2,No,Bronze,Referral,West,UPI,0
CUST100029,38.0,21,1126.26,3,1126.26,11,0.0,0.29,0.206,10,0.759,0,1,3.6,Yes,Bronze,Referral,South,Card,0
CUST100065,42.0,10,2235.66,3,2235.66,37,1.0,0.036,0.272,10,0.792,0,1,3.6,No,Gold,,South,Wallet,0
CUST100838,52.0,6,3954.75,7,1694.89,87,0.0,0.073,0.342,10,0.481,0,1,4.2,Yes,Bronze,Organic,East,UPI,1
