Customer ID,Age,Annual Income,Spending Score,Purchase Frequency,Recency,Engagement,Cluster,Persona
CUST0001,56,101047.04,67.43,5,18.77,100.0,3,Potential Growth Customers
CUST0002,46,70424.32,81.24,12,1.4,100.0,0,High-Value Loyalists
CUST0003,32,33791.32,40.22,6,68.83,80.12,1,Low-Engagement Customers
CUST0004,60,74444.18,28.31,8,53.1,89.28,3,Potential Growth Customers
CUST0005,25,38557.0,67.79,14,8.97,100.0,0,High-Value Loyalists
CUST0006,38,77315.86,80.19,5,13.99,100.0,3,Potential Growth Customers
CUST0007,56,85489.1,20.04,9,92.31,64.31,1,Low-Engagement Customers
CUST0008,36,41944.99,81.36,14,14.29,100.0,0,High-Value Loyalists
CUST0009,40,81194.27,55.59,5,63.25,90.16,3,Potential Growth Customers
CUST0010,28,69081.18,75.34,13,1.0,100.0,0,High-Value Loyalists
CUST0011,28,78085.32,22.58,11,46.95,94.52,3,Potential Growth Customers
CUST0012,41,101729.45,48.49,8,24.88,100.0,3,Potential Growth Customers
CUST0013,53,54601.46,69.44,6,29.26,100.0,2,Engaged Growth Customers
CUST0014,57,43417.8,49.82,10,27.23,100.0,2,Engaged Growth Customers
CUST0015,41,40430.68,24.52,7,69.17,68.31,1,Low-Engagement Customers
CUST0016,20,42052.17,89.32,13,9.5,100.0,0,High-Value Loyalists
CUST0017,39,58303.76,75.6,13,24.67,100.0,0,High-Value Loyalists
CUST0018,19,67505.34,67.06,11,20.43,100.0,0,High-Value Loyalists
CUST0019,41,66087.2,43.27,10,55.7,94.34,3,Potential Growth Customers
CUST0020,61,78198.03,52.72,11,49.97,99.64,3,Potential Growth Customers
CUST0021,47,60286.04,49.41,11,42.93,88.16,3,Potential Growth Customers
CUST0022,55,91977.75,25.24,6,77.86,77.83,1,Low-Engagement Customers
CUST0023,19,54177.55,20.49,13,81.74,85.41,1,Low-Engagement Customers
CUST0024,38,119843.72,37.67,10,36.89,100.0,3,Potential Growth Customers
CUST0025,50,73764.68,41.01,3,67.35,72.67,1,Low-Engagement Customers
CUST0026,29,41142.53,77.6,14,9.37,100.0,0,High-Value Loyalists
CUST0027,39,36440.37,47.29,7,60.02,85.66,2,Engaged Growth Customers
CUST0028,61,70614.39,26.42,8,60.97,93.49,3,Potential Growth Customers
CUST0029,42,55083.82,27.67,5,75.52,73.12,1,Low-Engagement Customers
CUST0030,44,75708.01,81.07,11,18.94,100.0,0,High-Value Loyalists
CUST0031,59,70411.23,33.17,8,37.68,100.0,3,Potential Growth Customers
CUST0032,45,58397.76,51.03,7,31.45,100.0,3,Potential Growth Customers
CUST0033,33,41370.54,47.98,5,69.08,77.02,1,Low-Engagement Customers
CUST0034,32,26673.36,76.92,13,10.07,100.0,2,Engaged Growth Customers
CUST0035,64,50176.67,95.91,12,13.91,100.0,0,High-Value Loyalists
CUST0036,61,78840.77,51.39,4,56.89,79.56,1,Low-Engagement Customers
CUST0037,20,64710.06,24.87,9,65.13,85.0,1,Low-Engagement Customers
CUST0038,54,32593.75,72.2,12,32.87,100.0,2,Engaged Growth Customers
CUST0039,24,63809.98,55.58,9,66.8,84.05,3,Potential Growth Customers
CUST0040,38,68476.98,79.43,10,12.71,100.0,0,High-Value Loyalists
CUST0041,26,40555.14,59.36,6,17.46,100.0,2,Engaged Growth Customers
CUST0042,56,63381.95,96.66,17,1.35,100.0,0,High-Value Loyalists
CUST0043,35,61280.59,13.61,5,81.8,65.23,1,Low-Engagement Customers
CUST0044,21,34854.65,48.68,10,33.89,97.72,2,Engaged Growth Customers
CUST0045,42,67871.32,32.43,6,60.27,77.34,1,Low-Engagement Customers
CUST0046,31,72337.26,46.48,10,33.61,100.0,3,Potential Growth Customers
CUST0047,26,83827.13,80.79,8,34.21,95.44,3,Potential Growth Customers
CUST0048,43,83183.65,12.79,11,75.88,73.68,1,Low-Engagement Customers
CUST0049,19,29691.27,88.51,17,15.84,100.0,0,High-Value Loyalists
CUST0050,37,39367.85,29.38,6,81.7,64.34,1,Low-Engagement Customers
CUST0051,45,71330.78,17.69,4,69.86,49.87,1,Low-Engagement Customers
CUST0052,64,71303.29,85.86,13,13.08,100.0,0,High-Value Loyalists
CUST0053,24,71331.05,47.89,9,77.56,84.77,1,Low-Engagement Customers
CUST0054,61,140000.0,38.2,9,60.56,83.86,3,Potential Growth Customers
CUST0055,25,72559.59,78.42,4,19.98,97.94,3,Potential Growth Customers
CUST0056,64,84982.44,73.84,12,21.98,100.0,0,High-Value Loyalists
CUST0057,52,80988.04,66.7,10,16.27,100.0,3,Potential Growth Customers
CUST0058,31,74330.61,84.95,15,14.54,100.0,0,High-Value Loyalists
CUST0059,34,53064.08,85.15,15,31.63,100.0,0,High-Value Loyalists
CUST0060,53,76697.32,73.8,11,23.99,100.0,0,High-Value Loyalists
CUST0061,57,42997.85,30.95,5,71.9,72.68,1,Low-Engagement Customers
CUST0062,21,54789.99,66.58,16,1.58,100.0,0,High-Value Loyalists
CUST0063,19,49322.0,36.19,15,48.21,100.0,2,Engaged Growth Customers
CUST0064,23,61801.23,37.88,9,56.03,89.91,3,Potential Growth Customers
CUST0065,59,110922.49,60.93,12,35.8,100.0,3,Potential Growth Customers
CUST0066,21,18920.17,79.77,13,20.62,100.0,2,Engaged Growth Customers
CUST0067,46,75097.72,56.87,6,71.56,73.2,1,Low-Engagement Customers
CUST0068,35,24520.25,76.56,8,32.13,99.37,2,Engaged Growth Customers
CUST0069,43,49617.5,59.36,10,58.47,90.21,2,Engaged Growth Customers
CUST0070,61,83956.91,42.62,9,47.09,86.48,3,Potential Growth Customers
