Customer ID,Age,Annual Income,Spending Score,Purchase Frequency,Recency,Engagement,Cluster
C001,56,117888,39,11,15,1,3
C002,46,59790,14,16,157,89,2
C003,32,25600,95,29,136,61,1
C004,60,114660,5,17,5,43,3
C005,25,113179,35,26,157,42,3
C006,38,60764,87,4,47,25,3
C007,56,94543,93,1,68,39,0
C008,36,65714,75,8,76,35,2
C009,40,76835,18,17,173,3,3
C010,28,93744,76,3,130,44,1
C011,28,76491,9,29,155,51,2
C012,41,38589,74,20,95,94,1
C013,53,63484,58,15,115,98,2
C014,57,102989,17,15,164,12,1
C015,41,56212,7,24,36,19,0
C016,20,63525,46,22,26,44,3
C017,39,67202,13,14,43,59,1
C018,19,52635,40,26,27,49,2
C019,41,83208,42,28,69,61,3
C020,47,53828,9,23,148,17,3
C021,55,38711,50,14,11,74,2
C022,19,23420,27,24,74,57,1
C023,38,116752,66,2,104,55,0
C024,50,20301,5,13,38,47,0
C025,29,65236,29,26,134,12,1
C026,39,86235,37,14,23,62,3
C027,42,74240,38,27,47,80,3
C028,44,85726,83,24,90,88,3
C029,59,30492,8,19,46,83,3
C030,45,26102,65,7,107,8,1
C031,33,70336,86,3,140,95,3
C032,32,105314,17,15,141,21,2
C033,20,46641,71,23,104,81,3
C034,54,54584,89,14,111,87,0
C035,24,52745,45,11,104,80,3
C036,38,43093,4,15,60,70,1
C037,26,86105,36,28,171,72,0
C038,56,71885,70,13,100,25,1
C039,35,56631,31,18,68,82,1
C040,21,92991,19,26,133,89,0
C041,42,24014,61,6,120,12,1
C042,31,31093,54,3,37,15,1
C043,26,38070,39,19,72,59,3
C044,43,55777,91,15,127,26,2
C045,19,76958,74,25,106,26,1
C046,37,102074,90,23,92,47,1
C047,45,30729,19,5,31,32,1
C048,24,119713,39,28,122,10,3
C049,25,65017,67,10,137,16,2
C050,52,86320,45,7,51,71,0
C051,31,47751,13,25,29,17,3
C052,34,98069,92,17,40,23,3
C053,53,74748,58,7,41,26,2
C054,57,25801,20,22,11,85,2
C055,21,39190,92,26,151,86,3
C056,19,69689,72,30,1,7,0
C057,23,70993,61,12,46,14,3
C058,59,49592,39,25,101,79,2
C059,21,30647,1,17,149,7,0
C060,46,28716,3,13,90,9,2
C061,35,108891,77,20,110,48,0
C062,43,107545,92,25,164,72,1
C063,51,109912,62,4,57,59,2
C064,27,90316,63,10,1,87,2
C065,53,22368,25,3,63,93,3
C066,31,97575,56,9,55,82,2
C067,48,26655,33,13,115,95,2
C068,32,90031,38,18,168,94,1
C069,25,96429,6,15,143,39,2
C070,31,111083,58,4,149,99,1
C071,40,107922,44,15,175,18,1
C072,57,75766,45,22,53,59,1
C073,38,33403,32,2,137,17,1
C074,33,52097,45,15,180,14,0
C075,35,98657,61,8,57,31,3
C076,41,30966,47,8,117,24,0
C077,43,119157,21,17,154,99,2
C078,42,113848,80,12,169,60,0
C079,58,72921,85,19,35,45,0
C080,46,69726,75,10,63,98,2
C081,32,70300,36,9,25,3,2
C082,18,42677,99,5,90,37,2
C083,42,75609,19,6,75,43,0
