Customer ID,Electronics,Clothing,Beauty,Home & Kitchen,Sports,Books,Grocery,Accessories
C001,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
C002,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0
C003,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
C004,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
C005,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
C006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C009,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
C010,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C011,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0
C012,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
C013,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
C014,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
C015,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
C016,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0
C017,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
C018,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
C019,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
C020,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
C021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C022,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
C023,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
C024,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
C025,1.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0
C026,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0
C027,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
C028,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
C029,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0
C030,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
C031,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
C032,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0
C033,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
C034,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
C035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C036,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
C037,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0
C038,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
C039,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
C040,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
C041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C043,2.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0
C044,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C045,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0
C046,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0
C047,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
C048,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0
C049,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
C050,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
C051,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
C052,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
C053,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
C054,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
C055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C056,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0
C057,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
C058,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
C059,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
C060,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
C061,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
C062,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0
C063,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
C064,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0
C065,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0
C066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C067,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
C068,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
C069,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
C070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C071,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
C072,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0
C073,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
C074,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
C075,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
C076,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C077,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
C078,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
C079,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
C080,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
C081,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
C082,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
C083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C084,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
C085,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
C086,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
C087,2.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0
