customer_id,customer_age,account_age_days,transaction_count,average_transaction,total_spending,purchase_frequency
CUST0001,32,578,22,37.91,817.41,1.14
CUST0002,19,400,19,32.85,616.87,1.42
CUST0003,20,1015,24,78.04,1810.97,0.71
CUST0004,29,524,22,27.98,558.11,1.26
CUST0005,33,723,1,11.39,11.39,0.04
CUST0006,38,616,18,49.84,878.45,0.88
CUST0007,34,896,25,55.84,1584.05,0.84
CUST0008,55,337,15,15.0,223.46,1.34
CUST0009,34,1010,20,60.77,1452.81,0.59
CUST0010,39,893,17,97.08,1546.33,0.57
CUST0011,33,336,22,77.09,1560.89,1.96
CUST0012,29,1140,15,163.0,2494.66,0.39
CUST0013,35,571,26,100.57,2642.45,1.37
CUST0014,45,1072,23,22.96,513.58,0.64
CUST0015,24,480,25,31.12,874.02,1.56
CUST0016,18,838,22,31.56,632.15,0.79
CUST0017,25,784,16,62.86,1111.87,0.61
CUST0018,43,393,20,15.75,306.64,1.53
CUST0019,25,481,21,15.83,357.03,1.31
CUST0020,38,663,18,51.52,1000.52,0.81
CUST0021,50,929,28,25.44,791.89,0.9
CUST0022,42,1008,21,47.05,918.62,0.62
CUST0023,18,411,16,46.9,749.32,1.17
CUST0024,38,995,24,17.72,399.69,0.72
CUST0025,29,720,19,19.12,349.06,0.79
CUST0026,33,814,16,43.77,778.4,0.59
CUST0027,23,391,22,56.42,1231.17,1.69
CUST0028,37,702,21,19.68,410.85,0.9
CUST0029,43,563,19,27.79,452.65,1.01
CUST0030,30,1283,31,74.84,1943.65,0.72
CUST0031,21,700,24,37.19,795.47,1.03
CUST0032,23,583,27,34.98,872.7,1.39
CUST0033,52,858,20,113.9,2535.52,0.7
CUST0034,33,458,23,32.84,725.25,1.51
CUST0035,28,240,16,36.22,630.37,2.0
CUST0036,43,1013,21,17.32,353.64,0.62
CUST0037,27,368,13,42.3,450.91,1.06
CUST0038,31,324,17,26.11,412.25,1.57
CUST0039,24,610,20,15.0,323.59,0.98
CUST0040,38,910,21,36.11,658.08,0.69
CUST0041,35,616,14,95.0,1392.24,0.68
CUST0042,49,590,16,49.97,828.31,0.81
CUST0043,34,889,19,84.54,1589.38,0.64
CUST0044,29,961,18,76.75,1269.02,0.56
CUST0045,23,523,20,46.11,905.62,1.15
CUST0046,40,500,20,77.1,1505.85,1.2
CUST0047,27,992,27,49.82,1405.45,0.82
CUST0048,34,177,25,48.32,1141.08,4.24
CUST0049,28,459,19,21.21,340.21,1.24
CUST0050,50,1332,16,38.66,617.71,0.36
CUST0051,24,321,18,2725.14,48663.77,1.68
CUST0052,18,621,18,37.99,638.03,0.87
CUST0053,35,626,24,104.02,2794.86,1.15
CUST0054,31,670,23,41.58,1049.32,1.03
CUST0055,30,1020,13,92.4,1086.58,0.38
