customer_id,date,segment,region,plan,monthly_revenue,churn,churn_risk
C1001,2025-01-01,Startup,North,Basic,24.63,No,Medium
C1002,2025-01-01,Consumer,North,Premium,180.43,No,Low
C1003,2025-01-01,SMB,West,Pro,52.65,No,Medium
C1004,2025-01-01,SMB,West,Pro,130.94,Yes,High
C1005,2025-01-01,SMB,West,Basic,48.5,No,Low
C1006,2025-01-01,Enterprise,West,Premium,361.3,No,Medium
C1007,2025-01-01,Startup,East,Enterprise,1257.07,No,Medium
C1008,2025-01-01,Startup,North,Premium,166.04,No,Low
C1009,2025-01-01,Consumer,South,Premium,283.04,No,Low
C1010,2025-01-01,SMB,North,Basic,24.34,No,Medium
C1011,2025-01-01,Startup,East,Basic,40.52,Yes,High
C1012,2025-01-01,Consumer,South,Pro,105.69,No,Low
C1013,2025-01-01,Consumer,East,Premium,290.41,Yes,Medium
C1014,2025-01-01,SMB,East,Pro,138.47,No,Low
C1015,2025-01-01,Enterprise,West,Premium,338.64,No,Low
C1016,2025-01-01,SMB,North,Enterprise,776.66,No,Low
C1017,2025-01-01,SMB,West,Basic,38.82,No,Low
C1018,2025-01-01,Startup,North,Pro,75.14,No,Low
C1019,2025-01-01,Consumer,East,Pro,76.68,No,Low
C1020,2025-01-01,SMB,South,Pro,145.38,No,Low
C1021,2025-01-01,Startup,South,Basic,36.89,No,Medium
C1022,2025-01-01,SMB,North,Premium,338.78,No,Medium
C1023,2025-01-01,Startup,South,Pro,61.19,No,Low
C1024,2025-01-01,Enterprise,North,Premium,481.43,No,Low
C1025,2025-01-01,Consumer,South,Pro,62.58,No,Medium
C1026,2025-01-01,SMB,South,Premium,298.1,No,Medium
C1027,2025-01-01,Consumer,West,Pro,117.17,No,Medium
C1028,2025-01-01,Enterprise,South,Basic,26.83,No,Low
C1029,2025-01-01,Enterprise,East,Premium,170.61,Yes,High
C1030,2025-01-01,Enterprise,West,Basic,38.41,No,Low
C1031,2025-01-01,SMB,West,Pro,90.71,Yes,Medium
C1032,2025-01-01,SMB,North,Pro,136.38,Yes,Medium
C1033,2025-01-01,Enterprise,South,Premium,430.21,No,Low
C1034,2025-01-01,Startup,West,Basic,21.42,No,Low
C1035,2025-01-01,Consumer,North,Premium,184.27,No,Medium
C1036,2025-01-01,Consumer,West,Enterprise,2197.39,No,Low
C1037,2025-01-01,SMB,East,Pro,55.86,No,Low
C1038,2025-01-01,Consumer,West,Premium,249.84,No,Medium
C1039,2025-01-01,SMB,North,Basic,48.9,No,Medium
C1040,2025-01-01,Consumer,South,Basic,35.45,No,Medium
C1041,2025-01-01,Enterprise,South,Pro,135.13,Yes,High
C1042,2025-01-01,SMB,North,Enterprise,1639.35,No,Low
C1043,2025-01-01,SMB,East,Pro,102.28,No,Low
C1044,2025-01-01,SMB,North,Pro,117.17,No,Low
C1045,2025-01-01,Enterprise,South,Pro,106.3,No,Medium
C1046,2025-01-01,Startup,East,Basic,27.22,Yes,High
C1047,2025-01-01,SMB,North,Pro,104.32,No,Medium
C1048,2025-01-01,Consumer,East,Pro,143.18,Yes,High
C1049,2025-01-01,Enterprise,South,Basic,34.36,No,Medium
C1050,2025-01-01,Consumer,East,Basic,37.2,No,Low
C1051,2025-02-01,Consumer,North,Premium,182.3,No,Low
C1052,2025-02-01,Enterprise,West,Premium,372.99,No,Medium
C1053,2025-02-01,Startup,South,Pro,50.97,Yes,Medium
C1054,2025-02-01,Startup,North,Premium,353.88,Yes,High
C1055,2025-02-01,SMB,South,Premium,428.64,No,Low
C1056,2025-02-01,Consumer,South,Pro,85.37,No,Low
C1057,2025-02-01,Consumer,West,Basic,20.69,No,Low
C1058,2025-02-01,Enterprise,South,Premium,266.26,No,Medium
C1059,2025-02-01,SMB,South,Premium,187.83,No,Low
C1060,2025-02-01,SMB,South,Enterprise,1199.32,No,Low
C1061,2025-02-01,Enterprise,East,Basic,26.49,No,Low
C1062,2025-02-01,Startup,North,Pro,148.11,No,Low
C1063,2025-02-01,Consumer,North,Basic,35.32,No,Low
C1064,2025-02-01,Startup,North,Basic,42.52,No,Medium
C1065,2025-02-01,SMB,South,Pro,75.47,No,Low
C1066,2025-02-01,SMB,North,Basic,38.25,No,Low
C1067,2025-02-01,Consumer,East,Basic,25.82,No,Low
C1068,2025-02-01,Startup,South,Basic,38.27,No,Medium
C1069,2025-02-01,Startup,South,Basic,34.18,Yes,High
C1070,2025-02-01,SMB,South,Pro,115.47,No,Low
C1071,2025-02-01,Startup,North,Premium,485.94,No,Medium
