date,new_customers
2025-09-01,33
2025-09-02,39
2025-09-03,43
2025-09-04,46
2025-09-05,54
2025-09-06,53
2025-09-07,56
2025-09-08,43
2025-09-09,42
2025-09-10,49
2025-09-11,53
2025-09-12,51
2025-09-13,51
2025-09-14,71
2025-09-15,48
2025-09-16,61
2025-09-17,42
2025-09-18,41
2025-09-19,48
2025-09-20,50
2025-09-21,47
2025-09-22,37
2025-09-23,41
2025-09-24,41
2025-09-25,40
2025-09-26,45
2025-09-27,51
2025-09-28,47
2025-09-29,38
2025-09-30,46
2025-10-01,51
2025-10-02,52
2025-10-03,52
2025-10-04,59
2025-10-05,55
2025-10-06,44
2025-10-07,47
2025-10-08,54
2025-10-09,49
2025-10-10,51
2025-10-11,62
2025-10-12,54
2025-10-13,36
2025-10-14,48
2025-10-15,51
2025-10-16,44
2025-10-17,45
2025-10-18,48
2025-10-19,51
2025-10-20,67
2025-10-21,43
2025-10-22,36
2025-10-23,48
2025-10-24,40
2025-10-25,48
2025-10-26,47
2025-10-27,34
2025-10-28,34
2025-10-29,50
2025-10-30,44
2025-10-31,52
2025-11-01,47
2025-11-02,54
2025-11-03,39
2025-11-04,45
2025-11-05,51
2025-11-06,46
2025-11-07,50
2025-11-08,56
2025-11-09,60
2025-11-10,47
2025-11-11,43
2025-11-12,44
2025-11-13,48
2025-11-14,53
2025-11-15,56
2025-11-16,47
2025-11-17,32
2025-11-18,39
2025-11-19,45
2025-11-20,49
2025-11-21,43
2025-11-22,48
2025-11-23,54
2025-11-24,35
2025-11-25,44
2025-11-26,50
2025-11-27,50
2025-11-28,55
2025-11-29,51
2025-11-30,49
2025-12-01,50
2025-12-02,50
2025-12-03,56
2025-12-04,54
2025-12-05,51
2025-12-06,58
2025-12-07,60
2025-12-08,47
2025-12-09,54
2025-12-10,78
2025-12-11,55
2025-12-12,51
2025-12-13,52
2025-12-14,61
2025-12-15,49
2025-12-16,48
2025-12-17,59
2025-12-18,51
2025-12-19,57
2025-12-20,70
2025-12-21,55
2025-12-22,50
2025-12-23,49
2025-12-24,51
2025-12-25,46
2025-12-26,50
2025-12-27,52
2025-12-28,57
2025-12-29,60
2025-12-30,53
2025-12-31,47
2026-01-01,56
2026-01-02,58
2026-01-03,65
2026-01-04,53
2026-01-05,54
2026-01-06,49
2026-01-07,57
2026-01-08,57
2026-01-09,57
2026-01-10,67
2026-01-11,80
2026-01-12,56
2026-01-13,54
2026-01-14,49
2026-01-15,58
2026-01-16,57
2026-01-17,64
2026-01-18,59
2026-01-19,43
2026-01-20,48
2026-01-21,45
2026-01-22,71
2026-01-23,51
2026-01-24,55
2026-01-25,55
2026-01-26,41
2026-01-27,48
2026-01-28,53
2026-01-29,54
2026-01-30,56
2026-01-31,57
2026-02-01,63
2026-02-02,46
2026-02-03,44
2026-02-04,53
2026-02-05,61
2026-02-06,51
2026-02-07,52
2026-02-08,68
2026-02-09,45
2026-02-10,55
2026-02-11,52
2026-02-12,59
2026-02-13,52
2026-02-14,55
2026-02-15,61
2026-02-16,46
2026-02-17,51
2026-02-18,57
2026-02-19,50
2026-02-20,53
2026-02-21,55
2026-02-22,55
2026-02-23,48
2026-02-24,46
2026-02-25,52
2026-02-26,59
2026-02-27,50
2026-02-28,58
2026-03-01,61
2026-03-02,49
2026-03-03,59
2026-03-04,60
2026-03-05,61
2026-03-06,61
2026-03-07,75
2026-03-08,58
2026-03-09,50
2026-03-10,59
2026-03-11,68
2026-03-12,62
2026-03-13,67
2026-03-14,89
2026-03-15,69
2026-03-16,55
2026-03-17,60
2026-03-18,59
2026-03-19,58
2026-03-20,60
2026-03-21,57
2026-03-22,65
2026-03-23,55
2026-03-24,52
2026-03-25,62
2026-03-26,60
2026-03-27,56
2026-03-28,67
2026-03-29,62
2026-03-30,58
2026-03-31,51
2026-04-01,57
2026-04-02,53
2026-04-03,62
2026-04-04,64
2026-04-05,66
2026-04-06,62
2026-04-07,65
2026-04-08,69
2026-04-09,64
2026-04-10,70
2026-04-11,62
2026-04-12,65
2026-04-13,57
2026-04-14,58
2026-04-15,59
2026-04-16,67
2026-04-17,70
2026-04-18,64
2026-04-19,71
2026-04-20,52
2026-04-21,64
2026-04-22,60
2026-04-23,58
2026-04-24,52
2026-04-25,61
2026-04-26,65
2026-04-27,43
2026-04-28,49
2026-04-29,56
2026-04-30,52
2026-05-01,55
2026-05-02,67
2026-05-03,71
2026-05-04,52
2026-05-05,54
2026-05-06,58
2026-05-07,55
2026-05-08,64
2026-05-09,69
2026-05-10,72
2026-05-11,65
2026-05-12,56
2026-05-13,66
2026-05-14,63
2026-05-15,62
2026-05-16,70
2026-05-17,66
2026-05-18,51
2026-05-19,59
2026-05-20,56
2026-05-21,60
2026-05-22,63
2026-05-23,64
2026-05-24,59
2026-05-25,54
2026-05-26,58
2026-05-27,53
2026-05-28,55
2026-05-29,52
2026-05-30,64
2026-05-31,61
2026-06-01,56
2026-06-02,61
2026-06-03,68
2026-06-04,64
2026-06-05,66
2026-06-06,74
2026-06-07,73
2026-06-08,64
2026-06-09,68
2026-06-10,64
2026-06-11,76
2026-06-12,71
2026-06-13,79
2026-06-14,80
2026-06-15,60
2026-06-16,58
2026-06-17,70
2026-06-18,72
2026-06-19,67
2026-06-20,70
2026-06-21,70
2026-06-22,60
2026-06-23,55
2026-06-24,62
2026-06-25,68
2026-06-26,69
2026-06-27,65
2026-06-28,77
2026-06-29,55
2026-06-30,63
2026-07-01,62
2026-07-02,68
2026-07-03,70
2026-07-04,75
2026-07-05,81
2026-07-06,60
2026-07-07,65
2026-07-08,71
2026-07-09,67
2026-07-10,75
2026-07-11,77
2026-07-12,77
2026-07-13,68
2026-07-14,71
2026-07-15,69
2026-07-16,67
2026-07-17,71
2026-07-18,66
2026-07-19,73
2026-07-20,62
2026-07-21,64
2026-07-22,71
2026-07-23,57
2026-07-24,64
2026-07-25,59
2026-07-26,65
2026-07-27,50
2026-07-28,61
2026-07-29,64
2026-07-30,57
2026-07-31,66
2026-08-01,70
2026-08-02,75
2026-08-03,55
2026-08-04,66
2026-08-05,66
2026-08-06,67
2026-08-07,73
2026-08-08,76
2026-08-09,76
2026-08-10,67
2026-08-11,72
2026-08-12,76
2026-08-13,72
2026-08-14,74
2026-08-15,66
2026-08-16,77
2026-08-17,53
2026-08-18,64
2026-08-19,68
2026-08-20,62
2026-08-21,67
2026-08-22,66
2026-08-23,76
2026-08-24,58
2026-08-25,66
2026-08-26,62
2026-08-27,68
2026-08-28,64
2026-08-29,66
2026-08-30,80
2026-08-31,71
