date,predicted_new_customers,model
2026-09-01,66.86,Holt-Winters Exponential Smoothing
2026-09-02,70.18,Holt-Winters Exponential Smoothing
2026-09-03,70.22,Holt-Winters Exponential Smoothing
2026-09-04,71.18,Holt-Winters Exponential Smoothing
2026-09-05,74.99,Holt-Winters Exponential Smoothing
2026-09-06,76.68,Holt-Winters Exponential Smoothing
2026-09-07,64.42,Holt-Winters Exponential Smoothing
2026-09-08,67.36,Holt-Winters Exponential Smoothing
2026-09-09,70.69,Holt-Winters Exponential Smoothing
2026-09-10,70.72,Holt-Winters Exponential Smoothing
2026-09-11,71.69,Holt-Winters Exponential Smoothing
2026-09-12,75.49,Holt-Winters Exponential Smoothing
2026-09-13,77.19,Holt-Winters Exponential Smoothing
2026-09-14,64.92,Holt-Winters Exponential Smoothing
2026-09-15,67.87,Holt-Winters Exponential Smoothing
2026-09-16,71.19,Holt-Winters Exponential Smoothing
2026-09-17,71.23,Holt-Winters Exponential Smoothing
2026-09-18,72.19,Holt-Winters Exponential Smoothing
2026-09-19,76.0,Holt-Winters Exponential Smoothing
2026-09-20,77.69,Holt-Winters Exponential Smoothing
2026-09-21,65.43,Holt-Winters Exponential Smoothing
2026-09-22,68.37,Holt-Winters Exponential Smoothing
2026-09-23,71.7,Holt-Winters Exponential Smoothing
2026-09-24,71.74,Holt-Winters Exponential Smoothing
2026-09-25,72.7,Holt-Winters Exponential Smoothing
2026-09-26,76.51,Holt-Winters Exponential Smoothing
2026-09-27,78.2,Holt-Winters Exponential Smoothing
2026-09-28,65.94,Holt-Winters Exponential Smoothing
2026-09-29,68.88,Holt-Winters Exponential Smoothing
2026-09-30,72.21,Holt-Winters Exponential Smoothing
