date,revenue
2022-01-01,9760
2022-02-01,10600
2022-03-01,11340
2022-04-01,11180
2022-05-01,10920
2022-06-01,10360
2022-07-01,10900
2022-08-01,11740
2022-09-01,12580
2022-10-01,13320
2022-11-01,13460
2022-12-01,14500
2023-01-01,12640
2023-02-01,13480
2023-03-01,14220
2023-04-01,13460
2023-05-01,13200
2023-06-01,13240
2023-07-01,13780
2023-08-01,14620
2023-09-01,14860
2023-10-01,15600
2023-11-01,16340
2023-12-01,17380
2024-01-01,15520
2024-02-01,15760
2024-03-01,16500
2024-04-01,16340
2024-05-01,16080
2024-06-01,16120
2024-07-01,16060
2024-08-01,16900
2024-09-01,17740
2024-10-01,18480
2024-11-01,19220
2024-12-01,19660
2025-01-01,17800
2025-02-01,18640
2025-03-01,19380
2025-04-01,19220
2025-05-01,18360
2025-06-01,18400
2025-07-01,18940
2025-08-01,19780
2025-09-01,20620
2025-10-01,20760
2025-11-01,21500
2025-12-01,22540
