month,customers,new_customers,churned_customers,active_customers,arpu,revenue,orders,retention_rate,revenue_growth,customer_growth,avg_order_value,net_customer_adds
2025-01-01,8752,507,391,8361,72.18479875303571,603537.1023741316,6982,0.9552906546130612,0.0,0.0,86.44186513522365,116
2025-02-01,9435,459,375,9060,73.25744132632838,663712.4184165351,7474,0.9601950541802001,0.0997044188430043,0.07803930530164527,88.80283896394637,84
2025-03-01,9387,574,390,8997,73.62857606964906,662436.2988986325,7614,0.9584152198416055,-0.0019226994741896597,-0.0050874403815580616,87.00240332264677,184
2025-04-01,9724,525,447,9277,74.69277150195619,692924.8412236476,7595,0.953954236424848,0.046024866656168006,0.035900713753062696,91.23434380824852,78
2025-05-01,9543,571,390,9153,73.32266952626148,671122.3941738713,7633,0.9591235269809523,-0.031464374998123934,-0.01861373920197451,87.9238037696674,181
2025-06-01,9988,623,443,9545,74.94151023912269,715316.7152324261,7955,0.9555880076035607,0.06585135802681186,0.046631038457508156,89.92039160684175,180
2025-07-01,9251,442,411,8840,74.47478000801831,658357.0552708819,7306,0.9555264399600721,-0.0796285879367945,-0.07378854625550657,90.11183346165916,31
2025-08-01,9027,486,365,8662,74.62617441092704,646411.92274745,6958,0.9595244777250335,-0.018143851315631565,-0.02421359852988869,92.90197222584794,121
2025-09-01,9158,488,370,8788,76.2408690311797,670004.7570460072,7052,0.9595767520377645,0.036498142234568265,0.014512019497064266,95.00918279154952,118
2025-10-01,8953,542,376,8577,73.99387667792193,634645.4802665365,7191,0.9579522506892937,-0.05277466526561203,-0.022384800174710673,88.25552499882303,166
2025-11-01,9126,484,346,8780,73.4214007240041,644639.898356756,7181,0.9620077690761001,0.015748033194882494,0.019323131911091362,89.7702128334154,138
2025-12-01,9885,581,384,9501,75.94710828233963,721573.4757905088,7978,0.9610732285051116,0.1193434933671702,0.08316896778435234,90.4454093495248,197
2026-01-01,10229,583,472,9757,74.3139473782673,725081.184569754,8242,0.9538060487037763,0.0048611941776302015,0.034800202326757734,87.97393649232639,111
2026-02-01,10793,613,451,10342,75.57136790244431,781559.086847079,8617,0.9582095945431232,0.07789183263779975,0.05513735458011526,90.69967353453394,162
2026-03-01,11653,628,468,11185,75.66786474310098,846345.0671515844,9789,0.9598370793965062,0.08289325963294902,0.07968127490039834,86.45878712346352,160
2026-04-01,11639,646,485,11154,74.3867938588627,829710.2987017545,8817,0.958247354421312,-0.019654830039731896,-0.0012014073629108557,94.10347042097703,161
2026-05-01,11472,666,422,11050,76.39411985122258,844155.0243560096,9092,0.9631278865685291,0.017409360444069044,-0.014348311710628114,92.84591116982067,244
2026-06-01,11685,611,432,11253,76.71832588266142,863311.321157589,9078,0.9629898487041182,0.022692865941529305,0.018566945606694585,95.09928631390052,179
2026-07-01,11491,590,422,11069,76.44655862168206,846186.9573833987,9323,0.9632627325197304,-0.019835676139667413,-0.016602481814291803,90.76337631485559,168
2026-08-01,11033,549,414,10619,77.92179790375998,827451.5719400272,8718,0.9624484970416256,-0.022140952752693677,-0.03985727961012964,94.9130043519187,135
