customer_id,segment,monthly_revenue,months_active,usage_score,support_tickets,engagement_score,late_payments,churned
C001,Enterprise,5200,28,91,1,94,0,0
C002,SMB,850,9,42,5,38,2,1
C003,Enterprise,4100,22,82,2,86,0,0
C004,Startup,620,6,35,6,31,3,1
C005,SMB,1200,16,74,2,71,0,0
C006,Enterprise,6800,35,88,1,91,0,0
C007,Startup,540,5,29,7,25,3,1
C008,SMB,980,13,61,3,59,1,0
C009,Enterprise,4600,25,77,3,80,0,0
C010,Startup,700,8,48,4,45,2,1
C011,SMB,1350,19,79,2,76,0,0
C012,Enterprise,5900,31,84,2,88,0,0
C013,SMB,1050,11,51,4,49,1,0
C014,Startup,480,4,22,8,19,3,1
C015,Enterprise,7200,39,93,1,96,0,0
C016,SMB,1450,21,69,3,67,1,0
C017,Startup,760,10,55,4,52,1,0
C018,Enterprise,5000,27,80,2,83,0,0
C019,SMB,900,8,37,5,34,2,1
C020,Startup,650,7,44,5,40,2,1
