CustomerID,Age,TenureMonths,MonthlyRevenue,SupportTickets,MonthlyLogins,Contract,Segment,ChurnRisk,Churn
C00001,22,53,133.28,5,14,Annual,Standard,0.092,0
C00002,58,29,130.18,2,9,Monthly,Value,0.375,1
C00003,52,60,185.71,5,13,Monthly,Value,0.106,0
C00004,40,46,162.11,0,7,Annual,Standard,0.069,0
C00005,40,40,25.32,2,12,Two Year,Premium,0.322,1
C00006,62,55,29.89,2,11,Monthly,Premium,0.428,0
C00007,22,31,140.31,1,8,Annual,Value,0.147,0
C00008,54,44,117.24,2,12,Monthly,Standard,0.272,0
C00009,28,18,72.04,6,8,Annual,Value,0.491,1
C00010,22,58,103.73,5,14,Monthly,Premium,0.247,1
C00011,45,38,171.58,2,10,Annual,Standard,0.086,0
C00012,68,47,185.32,3,16,Monthly,Value,0.124,0
C00013,56,28,132.24,3,15,Two Year,Premium,0.165,0
C00014,57,53,97.07,5,13,Two Year,Premium,0.139,0
C00015,55,5,74.14,0,8,Monthly,Standard,0.702,0
C00016,58,7,124.38,3,14,Annual,Standard,0.319,0
C00017,44,31,82.95,0,11,Monthly,Value,0.434,0
C00018,24,44,132.82,2,9,Annual,Value,0.112,1
C00019,61,49,155.33,3,8,Monthly,Standard,0.2,0
C00020,41,27,33.22,4,7,Monthly,Premium,0.725,1
C00021,44,39,20.21,0,10,Annual,Standard,0.319,1
C00022,37,34,62.46,1,11,Monthly,Value,0.491,1
C00023,27,58,198.9,3,12,Annual,Standard,0.033,0
C00024,66,40,149.26,0,9,Annual,Value,0.091,0
C00025,58,26,54.39,2,6,Monthly,Standard,0.647,0
C00026,51,59,198.05,2,13,Monthly,Premium,0.075,0
C00027,38,7,113.99,3,8,Annual,Standard,0.396,1
C00028,60,60,115.22,4,15,Annual,Standard,0.08,0
C00029,46,10,207.11,2,21,Monthly,Premium,0.233,0
C00030,41,18,31.9,4,11,Monthly,Standard,0.762,0
C00031,41,50,63.04,5,9,Annual,Standard,0.237,1
C00032,29,45,137.15,1,18,Annual,Premium,0.072,0
C00033,22,59,59.1,2,7,Annual,Standard,0.163,0
C00034,46,45,155.91,2,7,Monthly,Standard,0.212,0
C00035,64,39,62.82,1,14,Annual,Value,0.211,0
C00036,21,21,39.83,3,16,Annual,Standard,0.425,1
C00037,62,1,61.4,7,15,Monthly,Value,0.82,1
C00038,61,8,104.55,4,9,Monthly,Value,0.67,1
C00039,32,18,55.23,3,14,Monthly,Standard,0.665,1
C00040,50,3,46.94,2,14,Annual,Premium,0.555,0
C00041,26,31,192.06,2,9,Monthly,Value,0.21,0
C00042,57,47,84.08,2,13,Annual,Premium,0.151,0
C00043,54,58,92.15,4,22,Annual,Value,0.087,0
C00044,36,30,31.05,2,17,Monthly,Standard,0.59,1
C00045,21,53,91.47,4,13,Annual,Standard,0.136,0
C00046,68,60,72.96,1,21,Annual,Standard,0.082,0
C00047,41,52,142.1,0,12,Monthly,Standard,0.149,0
C00048,64,28,61.08,2,8,Annual,Value,0.351,0
C00049,53,20,197.67,5,16,Monthly,Premium,0.272,1
C00050,58,59,205.93,1,14,Monthly,Value,0.061,0
C00051,57,15,39.97,1,8,Annual,Premium,0.501,0
C00052,28,25,41.48,1,12,Annual,Value,0.377,0
C00053,36,5,43.07,1,14,Monthly,Value,0.752,1
C00054,42,48,143.91,2,13,Two Year,Standard,0.077,0
C00055,43,39,44.39,4,11,Annual,Premium,0.327,0
C00056,20,6,190.48,1,7,Annual,Value,0.19,0
C00057,46,14,170.85,1,13,Monthly,Value,0.331,0
C00058,26,34,183.96,4,9,Monthly,Standard,0.24,0
C00059,56,33,125.21,2,20,Monthly,Standard,0.273,0
C00060,53,49,219.34,1,12,Annual,Value,0.03,0
C00061,65,16,28.84,2,11,Monthly,Premium,0.748,1
C00062,56,56,100.25,4,10,Annual,Standard,0.124,0
C00063,37,27,84.79,1,17,Monthly,Standard,0.434,1
C00064,68,50,209.73,7,11,Annual,Premium,0.056,0
C00065,39,15,135.37,2,14,Annual,Value,0.221,0
C00066,34,3,181.24,1,14,Annual,Standard,0.185,1
C00067,65,4,54.07,0,11,Annual,Value,0.507,1
C00068,37,23,215.73,4,12,Two Year,Standard,0.095,0
C00069,21,58,119.73,1,19,Monthly,Standard,0.137,0
C00070,42,3,118.73,3,12,Annual,Standard,0.382,1
C00071,59,23,214.18,4,13,Two Year,Standard,0.094,0
C00072,27,7,96.15,7,10,Annual,Value,0.52,1
C00073,42,56,99.51,3,9,Monthly,Standard,0.269,1
