feature,shap_value,abs_shap
numeric__total_spend,-0.09508202651889736,0.09508202651889736
numeric__orders,-0.0804308057857877,0.0804308057857877
numeric__complaints,0.05115087710724733,0.05115087710724733
numeric__orders_per_month,-0.04803461463473488,0.04803461463473488
numeric__spend_per_month,-0.044979724391886126,0.044979724391886126
numeric__avg_order_value,-0.0314595093605122,0.0314595093605122
categorical__preferred_channel_Online,0.02167058725457211,0.02167058725457211
numeric__age,-0.019738284205487393,0.019738284205487393
numeric__tenure_months,0.01746144460813373,0.01746144460813373
categorical__preferred_channel_Mobile,0.017257261412394132,0.017257261412394132
numeric__income,-0.01533900853355733,0.01533900853355733
categorical__city_Bengaluru,-0.006695945987532729,0.006695945987532729
categorical__city_Mumbai,0.004906444276206615,0.004906444276206615
categorical__city_Delhi,0.004350819755285025,0.004350819755285025
categorical__preferred_channel_Store,-0.0025120235074944366,0.0025120235074944366
