feature,importance
numeric__total_spend,0.19937042310428224
numeric__tenure_months,0.19352244878603847
numeric__orders,0.11812296623941144
numeric__complaints,0.10236651676364185
numeric__orders_per_month,0.07864909895748341
numeric__spend_per_month,0.07570891786212046
numeric__avg_order_value,0.06846084955473765
numeric__income,0.044977557056596854
numeric__age,0.035870635278585916
categorical__preferred_channel_Mobile,0.028843435965230292
categorical__preferred_channel_Online,0.014771475645531185
categorical__city_Mumbai,0.01470487555117501
categorical__city_Bengaluru,0.007025423572040841
categorical__city_Delhi,0.006155312937606804
categorical__preferred_channel_Store,0.003918753881168386
categorical__city_Hyderabad,0.003775898547030639
categorical__city_Chennai,0.003755410297318609
