feature,mean_abs_shap
numeric__total_spend,0.11122860696825931
numeric__tenure_months,0.09008091921034027
numeric__orders,0.08197861767274767
numeric__complaints,0.07380147335622972
numeric__orders_per_month,0.025550889498371435
numeric__spend_per_month,0.024734132873844485
numeric__avg_order_value,0.022136118776579047
categorical__preferred_channel_Mobile,0.0184396296782103
numeric__income,0.017649803464710394
numeric__age,0.011888788144680093
categorical__preferred_channel_Online,0.010827472697222685
categorical__city_Mumbai,0.01055562289184018
categorical__city_Bengaluru,0.006304022561382508
categorical__city_Delhi,0.005027627767034999
categorical__city_Chennai,0.002161436446078091
categorical__preferred_channel_Store,0.002055646766066876
categorical__city_Hyderabad,0.0011839408547406184
